49	60	23	2449	4551	0.00	0.02
49	90	57	4551	2449	1333.00	12.93
85	40	40	3500	3500	6479.00	13.5
170	75	40	3500	3500	578.00	0.31
85	75	80	3500	3500	189.00	0.09
85	75	80	3500	3500	6088.00	11.65
49	60	23	2449	4551	803.00	0.17
121	90	57	2449	2449	1186.00	0.77
121	60	57	4551	2449	1887.00	0.5
85	40	40	3500	3500	823.00	0.3
85	40	40	3500	3500	1338.00	0.38
49	60	57	4551	4551	2533.00	0.89
121	60	23	2449	2449	808.00	0.17
85	75	40	1000	3500	1345.00	6.57
85	40	40	3500	3500	1137.00	0.35
49	90	57	4551	2449	1374.00	16.47
49	60	57	2449	2449	1809.00	0.45
121	90	57	2449	2449	703.00	0.21
85	75	80	3500	3500	3948.00	0.7
49	60	57	4551	4551	2351.00	0.71
85	75	40	3500	3500	737.00	1.2
85	75	80	3500	3500	6184.00	18.62
85	75	80	3500	3500	3862.00	0.67
85	75	0	3500	3500	439.00	0.17
121	60	23	2449	2449	1990.00	6.8
85	40	40	3500	3500	634.00	0.27
121	60	57	4551	2449	340.00	0.25
49	90	57	4551	2449	1301.00	9.79
49	60	57	4551	4551	1277.00	0.35
85	75	80	3500	3500	1663.00	0.38
170	75	40	3500	3500	124.00	0.1
121	60	57	2449	4551	706.00	0.29
49	90	57	2449	4551	1552.00	12
121	60	57	2449	4551	314.00	0.23
85	40	40	3500	3500	3057.00	0.33
121	60	57	2449	4551	1746.00	0.49
85	40	40	3500	3500	2195.00	0.36
49	60	57	4551	4551	3018.00	1.61
85	75	40	3500	3500	665.00	0.81
85	75	40	1000	3500	1340.00	6.01
85	75	40	1000	3500	1169.00	0.96
49	90	57	4551	2449	124.00	0.09
85	75	80	3500	3500	5319.00	2.16
85	75	80	3500	3500	3114.00	0.47
85	40	40	3500	3500	695.00	0.27
49	90	57	2449	4551	41.00	0.09
49	90	57	4551	2449	531.00	0.21
49	60	23	4551	2449	450.00	0.19
49	60	23	2449	4551	893.00	0.21
49	60	57	2449	2449	142.00	0.1
85	40	40	3500	3500	2117.00	0.38
85	110	40	3500	3500	384.00	0.13
85	75	40	1000	3500	78.00	0.08
121	60	23	2449	2449	985.00	0.23
85	75	40	3500	3500	409.00	0.17
85	40	40	3500	3500	1074.00	0.34
121	60	23	4551	4551	77.00	0.1
85	75	80	3500	3500	1956.00	0.39
49	60	57	4551	4551	1233.00	0.37
49	60	23	4551	2449	346.00	0.16
