85	75	40	3500	3500	62.00	0.1
121	60	57	2449	4551	1817.00	0.7
49	60	57	4551	4551	3292.00	2.89
121	90	23	4551	2449	103.00	0.12
85	75	40	3500	3500	368.00	0.17
49	60	23	4551	2449	184.00	0.1
49	60	57	2449	2449	2871.00	22.32
85	75	80	3500	3500	4749.00	1.21
49	60	23	2449	4551	1027.00	0.27
85	40	40	3500	3500	5737.00	0.94
121	90	57	2449	2449	764.00	0.23
85	75	40	3500	3500	96.00	0.09
49	60	57	4551	4551	3053.00	1.65
85	75	80	3500	3500	994.00	0.39
85	40	40	3500	3500	293.00	0.23
85	75	40	3500	3500	99.00	0.08
170	75	40	3500	3500	504.00	0.24
85	75	40	3500	3500	437.00	0.18
85	40	40	3500	3500	3213.00	0.33
49	90	57	4551	2449	44.00	0.09
121	60	23	2449	2449	1639.00	0.84
49	60	57	2449	2449	1838.00	0.46
85	40	40	3500	3500	6158.00	1.96
85	75	40	1000	3500	942.00	0.38
121	60	23	2449	2449	1534.00	0.63
85	40	40	3500	3500	1765.00	0.43
85	75	40	3500	3500	199.00	0.1
121	60	23	2449	2449	644.00	0.16
85	75	80	3500	3500	5245.00	1.93
85	75	40	3500	1000	177.00	0.08
121	60	57	4551	2449	2328.00	0.73
85	75	0	3500	3500	287.00	0.09
121	60	23	2449	2449	649.00	0.16
121	60	23	4551	4551	1023.00	12.78
49	60	57	4551	4551	2782.00	1.14
121	90	57	4551	4551	1246.00	2.88
85	75	0	3500	3500	262.00	0.1
85	75	40	3500	3500	629.00	0.26
49	60	57	4551	4551	1219.00	0.37
0	75	40	3500	3500	126.00	0.02
121	90	23	2449	4551	65.00	0.17
49	60	57	2449	2449	2285.00	0.8
85	75	40	3500	3500	244.00	0.14
121	90	57	4551	4551	494.00	0.18
121	60	57	4551	2449	2059.00	0.57
49	60	57	4551	4551	847.00	0.46
85	75	40	3500	6000	504.00	0.22
85	75	0	3500	3500	593.00	0.72
49	60	23	2449	4551	149.00	0.09
121	60	23	2449	2449	1280.00	0.37
85	75	80	3500	3500	1215.00	0.4
49	90	23	4551	4551	396.00	0.27
49	60	57	4551	4551	315.00	0.25
49	60	23	4551	2449	288.00	0.14
85	75	80	3500	3500	4353.00	0.9
85	75	40	3500	3500	112.00	0.09
85	40	40	3500	3500	3406.00	0.34
85	75	40	3500	3500	486.00	0.19
85	75	40	6000	3500	137.00	0.1
0	75	40	3500	3500	190.00	0.04
121	60	23	4551	4551	782.00	0.3
121	60	57	2449	4551	11.00	0.12
49	60	57	4551	4551	1359.00	0.36
121	90	57	2449	2449	990.00	0.4
121	60	57	2449	4551	889.00	0.33
85	75	40	1000	3500	1114.00	0.71
85	75	40	3500	6000	209.00	0.11
85	40	40	3500	3500	1793.00	0.43
85	110	40	3500	3500	449.00	0.14
85	75	40	6000	3500	219.00	0.13
85	75	40	3500	3500	317.00	0.16
121	60	57	2449	4551	262.00	0.21
49	90	57	2449	4551	927.00	0.37
121	60	57	4551	2449	2592.00	0.96
121	90	57	4551	4551	807.00	0.31
85	75	0	3500	3500	648.00	6.88
85	75	40	3500	6000	736.00	0.8
121	90	57	2449	2449	586.00	0.17
49	60	23	2449	4551	591.00	0.13
85	75	40	3500	1000	560.00	0.2
121	60	57	4551	2449	1321.00	0.36
85	75	80	3500	3500	4618.00	1.1
85	75	40	1000	3500	1268.00	2.12
49	60	57	2449	2449	1046.00	0.26
85	75	40	3500	3500	137.00	0.1
85	75	0	3500	3500	87.00	0.09
49	60	57	4551	4551	1284.00	0.36
85	75	40	3500	1000	912.00	0.89
85	75	40	1000	3500	267.00	0.13
85	75	40	3500	3500	762.00	0.97
121	60	57	2449	4551	439.00	0.25
85	75	40	1000	3500	613.00	0.17
121	60	23	4551	4551	536.00	0.18
121	60	57	4551	2449	2813.00	1.23
49	60	57	4551	4551	1673.00	0.41
49	90	23	4551	4551	170.00	0.1
121	60	57	4551	2449	700.00	0.46
85	75	0	3500	3500	414.00	0.14
121	60	57	2449	4551	1364.00	0.38
121	60	57	2449	4551	556.00	0.27
121	60	57	4551	2449	1025.00	0.46
121	90	57	2449	2449	1437.00	3.9
85	75	40	3500	1000	751.00	0.37
121	60	23	2449	2449	1328.00	0.4
85	110	40	3500	3500	451.00	0.15
49	90	57	2449	4551	578.00	0.19
85	75	40	3500	3500	464.00	0.18
121	60	23	2449	2449	1818.00	1.68
85	75	80	3500	3500	1380.00	0.39
85	75	40	3500	3500	97.00	0.12
49	60	57	2449	2449	143.00	0.1
85	75	40	3500	3500	261.00	0.14
121	60	23	4551	4551	141.00	0.11
85	75	40	3500	6000	453.00	0.19
121	90	57	4551	4551	709.00	0.25
85	75	40	3500	3500	7.00	0.08
49	60	57	2449	2449	1968.00	0.51
85	75	80	3500	3500	3345.00	0.54
121	60	57	4551	2449	4114.00	16.11
49	60	57	4551	4551	528.00	0.37
0	75	40	3500	3500	665.00	0.64
85	75	40	3500	3500	329.00	0.15
121	60	57	2449	4551	191.00	0.12
0	75	40	3500	3500	670.00	0.68
121	60	57	4551	2449	2521.00	0.93
121	60	57	4551	2449	2837.00	1.28
85	40	40	3500	3500	5381.00	0.68
121	60	23	2449	2449	349.00	0.14
85	75	80	3500	3500	3951.00	0.68
121	90	57	2449	2449	1199.00	0.81
85	75	80	3500	3500	2680.00	0.44
121	60	57	4551	2449	3214.00	2.11
121	60	57	2449	4551	545.00	0.26
85	75	80	3500	3500	2888.00	0.44
85	75	40	3500	1000	942.00	1.16
49	60	57	2449	2449	553.00	0.22
121	60	57	4551	2449	161.00	0.1
85	40	40	3500	3500	2937.00	0.31
85	40	40	3500	3500	5518.00	0.76
121	60	57	2449	4551	245.00	0.2
85	40	40	3500	3500	673.00	0.27
85	40	40	3500	3500	1668.00	0.41
49	60	57	2449	2449	2558.00	1.34
121	60	23	4551	4551	631.00	0.19
121	60	23	2449	2449	166.00	0.12
85	75	40	3500	1000	747.00	0.36
49	60	57	4551	4551	2538.00	0.9
121	60	57	2449	4551	1211.00	0.36
85	40	40	3500	3500	5050.00	0.56
121	60	57	4551	2449	1181.00	0.39
121	60	57	4551	2449	241.00	0.2
85	75	40	3500	1000	962.00	1.47
121	90	57	2449	2449	1295.00	1.34
49	60	57	4551	4551	981.00	0.44
49	60	57	4551	4551	1488.00	0.37
85	75	80	3500	3500	978.00	0.39
85	40	40	3500	3500	1973.00	0.4
49	60	57	2449	2449	916.00	0.25
85	40	40	3500	3500	550.00	0.26
49	60	23	4551	2449	167.00	0.1
85	75	40	3500	3500	64.00	0.09
85	75	40	3500	3500	222.00	0.12
85	75	0	3500	3500	343.00	0.1
121	90	57	4551	4551	1244.00	2.76
121	60	57	2449	4551	1986.00	2.09
85	75	80	3500	3500	6132.00	14.27
85	75	40	3500	3500	518.00	0.24
85	40	40	3500	3500	2484.00	0.31
85	40	40	3500	3500	4551.00	0.46
85	75	80	3500	3500	869.00	0.38
49	90	57	2449	4551	670.00	0.22
121	60	23	2449	2449	1789.00	1.47
121	90	57	2449	2449	390.00	0.16
85	75	80	3500	3500	986.00	0.39
49	60	57	2449	2449	1237.00	0.28
